"Hospital Name","Hospital Number","Hospital address","O2units Available","ICU with ventilators","Last Updated"
" Baranagar State General Hospital (Government Hospital)","Phone: 7605057322","Address: Baranagar, North 24 Parganas , UTTAR 24 PARGANA","20","0","Last updated 3 months ago"
" PANSKURA SUPER SPECIALITY HOSPITAL (Government Hospital)","Phone: 7364045140","Address: Banstala To Pitpur Bus Stand Rd, Mecho Gram, Purbba Pitpur, West Bengal 721139, India","280","18","Last updated 3 months ago"
" Jivandeep seva sadan NH (Private Hospital (Self Run))","Phone: 03326300124","Address: 12 NO. TARAKESWAR BAIDYABATI ROAD, KAMARKUNDU, SINGUR , HOOGHLY","3","0","Last updated 3 months ago"
" Durgapur Steel Plant Hospital (Government Hospital)","Phone: 0343-2745198","Address: Durgapur Steel Plant Hospital Rd, B-Zone, Durgapur, West Bengal 713205, India","0","0","Last updated 3 months ago"
" RANAGHAT SUB-DIV HOSPITAL (Government Hospital)","Phone: 9333319675, 9088871377, 8637886036","Address: JAGPUR ROAD, ANULIA, RANAGHAT , NADIA","18","0","Last updated 3 months ago"
" Durgapur ESI Hospital (Government Hospital)","Phone: 8207008088,9002641814","Address: Durgapur , PASCHIM BARDHAMAN","32","0","Last updated 3 months ago"
" A.B Nursing Home (Private Hospital (Self Run))","Phone: 9732645336","Address: 273, Link Road, Arambagh , HOOGHLY","4","0","Last updated 3 months ago"
" Gourhati ESI Hospital (Government Hospital)","Phone: 03326330070","Address: E.S.I. Hospital- Gourhati, G.T. Road, P.O. Angus, Hooghly- 712 221 , HOOGHLY","4","0","Last updated 3 months ago"
" Kalpataru Nursing Home (Private Hospital (Self Run))","Phone: 9832954716","Address: 897/B, Basudebpur More, Arambagh, Arambagh , HOOGHLY","10","0","Last updated 3 months ago"
" Contai Sub Divisional Hospital (Government Hospital)","Phone: 9083246426","Address: DARUA, CONTAI , PURBA MEDINIPUR","9","0","Last updated 3 months ago"
" Kasturba Gandhi Hospital (Government Hospital)","Phone: 7047042222","Address: Hospital Road, Bhoanipur, Chittaranjan, West Bengal 713331, India","38","9","Last updated 3 months ago"
" THE SAHARARHAT NURSING HOME (Private Hospital (Self Run))","Phone: 3174-225316","Address: VILL+PO; BELSINGA, PS: FALTA , DAKSHIN 24 PARGANA","25","5","Last updated 3 months ago"
" EGRA SUB DIVISIONAL AND SUPER SPECIALITY HOSPITAL (Government Hospital)","Phone: 7364045140","Address: Buran, Egra, West Bengal 721429, India","100","0","Last updated 3 months ago"
" BIRPARA SGH (Government Hospital)","Phone: 9647817916","Address: BIRPARA, MADARIHAT , ALIPURDUAR","10","0","Last updated 3 months ago"
" TEHATTA SDH (Government Hospital)","Phone: 7586805491","Address: Vill. + P.O.- Tehatta, P.S.- Tehatta, Nadia , NADIA","28","0","Last updated 3 months ago"
" FALAKATA SUPER SPECIALITY HOSPITAL (Government Hospital)","Phone: 8420507892","Address: Falakata, West Bengal 735211, India","10","0","Last updated 3 months ago"
" Citizen Hospital (Private Hospital (Self Run))","Phone: 7477783932","Address: 6/N,MARKET STREET, SEC-2B, BIDHANNAGAR, DURGAPUR-713212 , PASCHIM BARDHAMAN","12","0","Last updated 3 months ago"
" AMRI Hospital, Mukundupur (Private Hospital (Self Run))","Phone: 033 6606-1000","Address: 230 Barakhola Lane, behind Metro Cash n Carry, Purba Jadavpur, Mukundapur, Kolkata, West Bengal 700099 , KOLKATA METROPOLITAN AREA","116","11","Last updated 3 months ago"
" Subham Hospital Diagnostic Centre Pvt. Ltd (Private Hospital (Self Run))","Phone: 9832464295","Address: Cooch Behar Municipality , COOCHBEHAR","16","4","Last updated 3 months ago"
" COOCHBEHAR POLICE HOSPITAL (Government Hospital)","Phone: 8670544844","Address: Vivekananda Rd, Khagrabari, Cooch Behar, West Bengal 736101, India","0","0","Last updated 3 months ago"
" Cooch behar Mission Hospital (Private Hospital (Self Run))","Phone: 9832514641","Address: Cooch Behar, NH 31, Chakchaka, West Bengal 736156, India","19","0","Last updated 3 months ago"
" TUFANGANJ MENTAL HOSPITAL (Government Hospital)","Phone: 9614142551","Address: Tufanganj, West Bengal 736159, India","0","0","Last updated 3 months ago"
" Uluberia SDH SSH (Government Hospital)","Phone: 03326612945","Address: Station Road, Bazarpara, Uluberia, Howrah, West Bengal 711315, India","65","5","Last updated 3 months ago"
" Arambagh Nursing Home (Private Hospital (Self Run))","Phone: 9734591656","Address: 332, Khanka Sarif Road, Arambagh, Arambagh , HOOGHLY","5","0","Last updated 3 months ago"
" Debra COVID Hospital (Government Hospital)","Phone: 9647149957","Address: Debra, Paschim Medinipur , PASCHIM MEDINIPUR","50","0","Last updated 4 months ago"
" Narendrapur R K Mission Safe Home (Government Hospital)","Phone: 8777709243","Address: Narendrapur Ramkrishna Mission, Kolkata 103 , DAKSHIN 24 PARGANA","10","0","Last updated 5 months ago"
" Ajanta Seva Sadan Hospital (Private Hospital (Self Run))","Phone: 6290421520","Address: 49/46, RAMKRISHNA ROAD, CHINSURAH, CHINSURAH , HOOGHLY","10","12","Last updated 5 months ago"
" City Nursing Home (Private Hospital (Self Run))","Phone: 7047322943","Address: Gabgachhi-Jadupur,Kamalabari,Englishbazar,Malda , MALDA","4","0","Last updated 6 months ago"
" SNR CARNIVAL HOSPITAL (Private Hospital (Self Run))","Phone: 8910553178","Address: M & 12, IGC, Ph-111, WBIIDC, Kalyani Barrackpore Expressway, Kalyani, Nadia, Pin.- 741235 , NADIA","53","1","Last updated 6 months ago"
" MAA MAHAMAYA HOSPITAL (Private Hospital (Self Run))","Phone: 8145757511/9735120173","Address: kenduadihi, Bankura, West Bengal 722101, India","2","2","Last updated 7 months ago"
" Glow Nursing Home Pvt. Ltd. (Private Hospital (Self Run))","Phone: 8327889902","Address: North Singatala, Malda Medical College & Hospital Road, Malda , MALDA","0","0","Last updated 7 months ago"
" DISHA MULTISPECIALITY HOSPITAL (Private Hospital (Self Run))","Phone: 9883592131","Address: 251, COLLEGE ROAD, BISHNUPUR, PIN-722122 , BANKURA","20","0","Last updated 7 months ago"
" Dafodil Nursing Home Govt. Requisitioned (Govt. Requisitioned Pvt. Hospital)","Phone: 033 4050 5555","Address: No. 276, Canal St, Sreebhumi, Lake Town, Kolkata, West Bengal 700048 , KOLKATA METROPOLITAN AREA","0","0","Last updated 7 months ago"
" ESI Hospital Sealdah (Government Hospital)","Phone: 6290514135","Address: Sealdah , KOLKATA METROPOLITAN AREA","40","0","Last updated 7 months ago"
" Asha Deep Nursing Home and Diagnostic Centre (Private Hospital (Self Run))","Phone: 7797566359","Address: Basudebpur, Raghunathganj, PIN-742225 , MURSHIDABAD","3","2","Last updated 7 months ago"
" Square Nursing Home (Govt. Requisitioned Pvt. Hospital)","Phone: 8918736650","Address: 193/146, No 3 Govt Colony, English Bazar, Malda 732101 , MALDA","5","0","Last updated 7 months ago"
" St. Joseph Hospital (Private Hospital (Self Run))","Phone: 8768829889","Address: Phulpahari, PO-Vidyasagar University, Midnapore , PASCHIM MEDINIPUR","4","4","Last updated 7 months ago"
" Barjora Super Speciality Hospital (Government Hospital)","Phone: 8509658547","Address: Barjora , BANKURA","175","5","Last updated 7 months ago"
" Basumati healthcare Pvt. Ltd. (Private Hospital (Self Run))","Phone: 7001049848","Address: Vill: Talai more, PO: Jarur, Near Umarpur, I PS, Raghunathganj, West Bengal 742235, India","21","1","Last updated 7 months ago"
" NITYANANDA AROGYA NIKETAN HOSPITAL (Private Hospital (Self Run))","Phone: 8372959509","Address: CINEMA ROAD, BANKURA 722101 , BANKURA","0","1","Last updated 7 months ago"
" Glocal Hospital Berhampore (Private Hospital (Self Run))","Phone: 9732932073","Address: Karbala Road, Chalpaty mor, Radhika Nagar, Cossimbazar-742102 , MURSHIDABAD","16","0","Last updated 7 months ago"
" Malda Apollo Nursing Home (Private Hospital (Self Run))","Phone: 9932270671","Address: Gangachi , Jadupur, English Bazar, Malda , MALDA","14","2","Last updated 7 months ago"
" Astha Healthcare (Private Hospital (Self Run))","Phone: 7980563744","Address: No:3, Bagdahar P.O, Jiaganj P.S., Berhampore-Lalgola Road, Jiaganj, West Bengal 742123, India","10","1","Last updated 8 months ago"
" CHRISTIYO SEVA SADAN LONDON MISSION COVID HOSPITAL (Government Hospital)","Phone: 7477781494, 7477781484","Address: Jiaganj Station Rd, Baligram, Jiaganj, West Bengal 742122, India","120","0","Last updated 8 months ago"
" Narayana Multispeciality Hopsital -Paying (Private Hospital (Self Run))","Phone: 9830064488","Address: Andul Road, Howrah 711109 , HOWRAH","6","0","Last updated 8 months ago"
" KALYANI ESI HOSPITAL (Government Hospital)","Phone: 03325828214","Address: A- Block, P.O & P.S - Kalyani, Nadia, PIN - 741235 , NADIA","10","0","Last updated 8 months ago"
" Basirhat District Hospital (Government Hospital)","Phone: 9832753064","Address: Badartala Basirhat North 24 Parganas Pin-743411 , UTTAR 24 PARGANA","0","0","Last updated 8 months ago"
" HARDIK MEDICAL DIAGONOSTIC CENTRE PVT.LTD. (Private Hospital (Self Run))","Phone: 8373082080","Address: 442/3, RABINDRA SARANI, BANKURA MNC , BANKURA","4","0","Last updated 8 months ago"
" HLG Memorial Hospital Pvt. Ltd. (Private Hospital (Self Run))","Phone: 8348689036","Address: Sen Raliegh Road, Asansol, Kalyanpur, Burdwan, West Bengal 713304, India","10","4","Last updated 8 months ago"
" Arogya Niketan Nursing Home (Private Hospital (Self Run))","Phone: 3532501601","Address: H/268/240, Khalpara Road, Khalpara, Siliguri, 734005 , DARJEELING","12","0","Last updated 8 months ago"
" Dr JR Dhar Sub Divisional Hospital, Bongaon (Government Hospital)","Phone: 7605057314","Address: Bongaon, North 24 Parganas , UTTAR 24 PARGANA","233","0","Last updated 8 months ago"
" Extent NH (Private Hospital (Self Run))","Phone: 3326855970","Address: 1294, RUE- DE- CORDARIE, CHANDANNAGORE, CHANDANNAGORE , HOOGHLY","2","0","Last updated 8 months ago"
" Glocal Hospital Sonamukhi a unit of Glocal Healthcare Systems Private Limited (Private Hospital (Self Run))","Phone: 9830202195/9830202193","Address: GANGADI NAGAR, BANKUR TO BURDWAN ROAD, SONAMUKHI , BANKURA","24","1","Last updated 9 months ago"
" BANKURA NURSING HOME (Private Hospital (Self Run))","Phone: 9564280791","Address: PATPUR BANKURA , BANKURA","2","0","Last updated 9 months ago"
" Gita seva sadan (Private Hospital (Self Run))","Phone: 9434462293","Address: 422,423, Arambagh Kalipur Road, Arambagh, Arambagh , HOOGHLY","3","0","Last updated 9 months ago"
" Life Span Nursing Home (Private Hospital (Self Run))","Phone: 9609753900","Address: 93, Abdus Samad Road, Gorabazar, Berhampore, PIN-742101 , MURSHIDABAD","10","0","Last updated 9 months ago"
" ISLAMPUR URDU ACADEMY (Government Hospital)","Phone: 8370963488","Address: ISLAMPUR, UTTAR DINAJPUR , UTTAR DINAJPUR","45","0","Last updated 9 months ago"
" Ayush COVID Hospital (Government Hospital)","Phone: 6297449488","Address: Abas, Midnapore , PASCHIM MEDINIPUR","0","0","Last updated 9 months ago"
" Sree Balaram Seba Mandir SGH (Satellite Hospital)","Phone: 7605036785","Address: 32 MS Mukherjee Road, Khardah, North 24 Parganas, PIN - 700116 , UTTAR 24 PARGANA","57","0","Last updated 9 months ago"
" DOMKAL SDH AND SSH (Government Hospital)","Phone: 9339639967","Address: SH 11, Joyrampur, Domkal, West Bengal 742303, India","50","0","Last updated 9 months ago"
" Sanjiban Hospital (Govt. Requisitioned Pvt. Hospital)","Phone: 6290410760,9382046316","Address: Boikunthopur Rd, Fuleswar, Uluberia, Howrah, West Bengal 711316, India","0","8","Last updated 9 months ago"
" Sanjiban Hospital - pvt beds (Private Hospital (Self Run))","Phone: 6290410760, 9382046316","Address: Boikunthopur Rd, Fuleswar, Uluberia, Howrah, West Bengal 711316, India","125","39","Last updated 9 months ago"
" Shri Ramkrishna Institute of Medical Sciences and Sanaka Hospitals (Govt. Requisitioned Pvt. Hospital)","Phone: 9817877877","Address: Kanksha, Durgapur, Malandighi, West Bengal 713212, India","24","20","Last updated 9 months ago"
" Gitaram Hospital Pvt. Ltd. (Private Hospital (Self Run))","Phone: 9002592303","Address: National Highway 34, Radharghat GitaRam More Berhampore, Murshidabad, West Bengal 742187, India","15","0","Last updated 9 months ago"
" Beacon Islamia Hospital Research Centre Pvt. Ltd., (Private Hospital (Self Run))","Phone: 8372028127","Address: 24/A/B/10 Kalikapore Road, Shilpa Taluk, Raninagar, Gora Bazar, Berhampore, West Bengal 742101, India","15","2","Last updated 9 months ago"
" Berhampore City Hospital Pvt. Ltd. (Private Hospital (Self Run))","Phone: 7797840530","Address: CHALTIA, PO - CHALTIA, PS - BERHAMPORE, MURSHIDABAD - 742165 , MURSHIDABAD","10","0","Last updated 9 months ago"
" GNRC MEDICAL A unit of GNRC Community Hospitals Ltd. (Govt. Requisitioned Pvt. Hospital)","Phone: 033-25847005, 033-25847006, 6291835619/ 9330900627","Address: Kolkata - Basirhat Rd, Koyra, West Bengal 700125, India","12","0","Last updated 9 months ago"
" VIP Apex Medical Centre (Private Hospital (Self Run))","Phone: 9903026123","Address: Sachindralal Sarani, Joramandir, H/1-16, VIP Rd, Kolkata, West Bengal 700059 , UTTAR 24 PARGANA","0","3","Last updated 9 months ago"
" Nehru Memorial Technoglobal Hospital (Govt. Requisitioned Pvt. Hospital)","Phone: 9073943774","Address: 6, Barasat road, Lalkuthi, Barrackpore, West Bengal 700120, India","10","0","Last updated 9 months ago"
" BN Bose SDH (Government Hospital)","Phone: 9831227779","Address: Barrackpore , UTTAR 24 PARGANA","84","0","Last updated 9 months ago"
" Arogya Niketan Pvt. Ltd (Private Hospital (Self Run))","Phone: 03326637806","Address: 105, R.S.VERMA ROAD, UTTARPARA, UTTARPARA , HOOGHLY","2","0","Last updated 9 months ago"
" Angel Nursing Home (Private Hospital (Self Run))","Phone: 7586021575","Address: Sadarghat Nageswarpur (Mangalbari) Bulbulchandi Road, Kachu Pukur, West Bengal 732142, India","0","15","Last updated 9 months ago"
" Megacity Nursing Home Pvt.Ltd. (Govt. Requisitioned Pvt. Hospital)","Phone: 6290337393","Address: 12, Jessore Road, Barasat, Kolkata-700124 , UTTAR 24 PARGANA","8","0","Last updated 9 months ago"
" Gouri Devi Institute of Medical Sciences Hospital Govt Requisitioned (Govt. Requisitioned Pvt. Hospital)","Phone: 9083249541,8348691541","Address: Durgapur , PASCHIM BARDHAMAN","120","3","Last updated 9 months ago"
" Barasat District Hospital (Government Hospital)","Phone: 7605057313","Address: Barasat, Kolkata, West Bengal 700124, India","122","0","Last updated 9 months ago"
" Murshidabad Medical College and Hospital (Government Hospital)","Phone: 8373056219","Address: 73, Station Road, Raninagar, Gora Bazar, Berhampore, West Bengal - 742101 , MURSHIDABAD","97","18","Last updated 9 months ago"
" ROTARY CLUB OF PURULIA SERVICE CENTRE MULTI SPECIALITY HOSPITAL (Private Hospital (Self Run))","Phone: 7547999886","Address: W Lake Rd, Purulia, West Bengal 723101, India","10","0","Last updated 9 months ago"
" Narayana Multi Speciality Hospital, Barasat. (Govt. Requisitioned Pvt. Hospital)","Phone: 9836113636","Address: 78, Jessore Road, Kolkata-700127 , UTTAR 24 PARGANA","25","0","Last updated 9 months ago"
" Basantpur NH (Private Hospital (Self Run))","Phone: 9733942986","Address: 387/1, Link Road, Arambagh, Arambagh , HOOGHLY","5","0","Last updated 10 months ago"
" AMRI Hospital, Dhakuria (Private Hospital (Self Run))","Phone: 033 6626-0000","Address: Block-A, Scheme-L11 P-4&5, Gariahat Rd, Dhakuria, Kolkata, West Bengal 700029 , KOLKATA METROPOLITAN AREA","31","0","Last updated 10 months ago"
" Uluberia ESI Hospital (Government Hospital)","Phone: 03326610215","Address: Mumbai Highway, Jadurberia, PO, Uluberia, Howrah, West Bengal 711316 , HOWRAH","18","0","Last updated 10 months ago"
" GLOCAL HOSPITAL (Govt. Requisitioned Pvt. Hospital)","Phone: 7063584842","Address: Nanoor Chandidas Rd, Khosh Kadambapur, West Bengal 731204, India","35","10","Last updated 10 months ago"
" ILS Hospital Golabari pvt beds (Private Hospital (Self Run))","Phone: 40880000","Address: 98, Dr Abani Dutta Rd, opposite Golabari, PS, Howrah, West Bengal 711101, India","43","19","Last updated 10 months ago"
" ILS Hospital Golabari (Govt. Requisitioned Pvt. Hospital)","Phone: 40880000","Address: 98, Dr Abani Dutta Rd, opposite Golabari, PS, Howrah, West Bengal 711101 , HOWRAH","6","10","Last updated 10 months ago"
" Narayana Multi Speciality Hospital (Govt. Requisitioned Pvt. Hospital)","Phone: 18602080208","Address: Andul Rd, near Chunabati, Podara, Mourigram, Howrah, West Bengal 711109, India","4","2","Last updated 10 months ago"
" Manorama Hospitex pvt. ltd. (Private Hospital (Self Run))","Phone: 8240565095","Address: 172A, Beharampur Road, NH-34, Ranaghat, Nadia , NADIA","27","3","Last updated 10 months ago"
" Sree Jain Hospital (Private Hospital (Self Run))","Phone: 8017517542","Address: 493, B/12, Grand Trunk Rd, Choura Bustee, Shibpur, Kolkata, West Bengal 711102, India","7","0","Last updated 10 months ago"
" Anandalok Hospital (Private Hospital (Self Run))","Phone: 033 2359 2932","Address: DK-7/3, 3rd Ave, beside National Dairy Development Board, Sector II, Bidhannagar, Kolkata, West Bengal 700091 , KOLKATA METROPOLITAN AREA","0","6","Last updated 10 months ago"
" SURI SADAR HOSPITAL, NTS SAFE HOME (Government Hospital)","Phone: 9434220944","Address: SURI, BURBHUM , BIRBHUM","0","0","Last updated 10 months ago"
" RAMESHWARLALL SINGHANIA SEVA PRATISTHAN (Private Hospital (Self Run))","Phone: 8145900440,8145900447,8145900446","Address: Purulia, West Bengal 723101, India","12","1","Last updated 10 months ago"
" ILS Hospitals, Dumdum Govt. Requisitioned Pvt. Hospital (Govt. Requisitioned Pvt. Hospital)","Phone: 03340315041/42","Address: 1, Mall Road, near Nager Bazar Flyover, Golpark, Dum Dum, Kolkata, West Bengal 700080, India","17","8","Last updated 10 months ago"
" Glocal EHC Hospital (Private Hospital (Self Run))","Phone: 9734344000","Address: Narayanpur, Bypass NH34, Malda 732141 , MALDA","30","0","Last updated 10 months ago"
" Bolpur Super Specialty Hospital (Government Hospital)","Phone: 9647365859","Address: Sian Hospital , Bolpur, Birbhum , BIRBHUM","0","0","Last updated 11 months ago"
" IRIS Hospitex (Private Hospital (Self Run))","Phone: 03326703504","Address: Fokor Dokan, Baruipara, Domjur, Howrah, West Bengal 711405, India","6","4","Last updated 11 months ago"
