"Hospital Name","Hospital Number","Hospital address","O2units Available","ICU with ventilators","Last Updated"
" Devyani multispeciality Hospital ( Kothrud)","Phone: 9850811722","Address: Plot No, 121, Lane Number 4, Dahanukar Colony, Kothrud, Pune, Maharashtra 411038","69","2","Last updated about 2 months ago"
" PRIME MULTISPECIALITY HOSPITAL ( Kondhwa )","Phone: 9975586761","Address: Bus Stop, Shakuntal Chembers, near Sus, Pune, Maharashtra 411021","18","4","Last updated about 2 months ago"
" krishna hospital ( Kothrud)","Phone: 020-41403700","Address: 2,Anjanwel,prashant society, paud rd, kothrud, pune 411038","8","3","Last updated about 2 months ago"
" Meera Hospital ( Bhawani Peth )","Phone: 020-67212000","Address: 710, B-4, Shankar Sheth Rd, Chitragupt Colony, Shanti Nagar Society, Bhawani Peth, Pune, Maharashtra 411042","11","1","Last updated about 2 months ago"
" Global Hospital (Sinhgad rd )","Phone: 9922441114","Address: 577/2, off Sinhgad Road, Police Chaoki Rd, near Dattawadi, Dattawadi, Pune, Maharashtra 411030","28","1","Last updated about 2 months ago"
" Sathe Hospital ( Deccan Gymkhana )","Phone: 9970785525","Address: 759, 4, Above Post Office, Deccan Gymkhana, Pune, Maharashtra 411004","15","0","Last updated about 2 months ago"
" Vinod Memorial Hospital ( Visharant wadi )","Phone: 8806666732","Address: Vishrant Society, Visharant Wadi, Pune, Maharashtra 411015","10","0","Last updated about 2 months ago"
" pune Adventist Hospital (Market Yard )","Phone: 9420730717","Address: Salisbury Park, Post Box 1405, Market Yard, Gultekdi, Pune, Maharashtra 411037","23","2","Last updated about 2 months ago"
" Jeevandhara Multispeciality Hospital ( Katraj)","Phone: 020-24369032/33","Address: sr.no.84/2-D, first floor, bhagirathi square bldg, morebaugh, katraj chowk, pune 46","40","2","Last updated about 2 months ago"
" dhanwantari hospital ( dhanori)","Phone: 9373677106","Address: Plot.No 51/246, Bhairav Nagar, Dhanori, Near Ganpati Mandir, Pune, Maharashtra 411015","4","2","Last updated about 2 months ago"
" Seth tarachand ramnath charitable ayurvedic hospital ( Rasta Peth )","Phone: 9834797745 / 9145614638/020 26336945","Address: Rasta Peth, Pune - 411011, Near Apolo Tokij and IndraPrasht and Raj Dhanraj School (Map)","20","0","Last updated about 2 months ago"
" Vimal Nursing Home ( Dhankwadi )","Phone: 020-24373507,","Address: Shewanta Heights Sr.No.20/1-pune satara rd, Balaji Nagar, Dhnakwadi, Pune 43","11","1","Last updated about 2 months ago"
" BHARATI HOSPITAL ( Dhankawadi )","Phone: 9822051716","Address: Pune - Satara Rd, Bharati Vidyapeeth Campus, Dhankawadi, Pune, Maharashtra 411043","210","70","Last updated about 2 months ago"
" Kohakade hospital (Chandan Nagar)","Phone: 7385406224","Address: 39/2, plot no 21, near vijay sales nagar rd, sangam nagar pune","39","1","Last updated 2 months ago"
" Chinmay Hospital ( Uttamnagar )","Phone: 9623475007","Address: Tarachand Complex, Near NDA Police Chowki, Utamnagar,Pune 23","2","0","Last updated 2 months ago"
" Shree samarth Hospital ( Rasta Peth)","Phone: 8805387387","Address: rasta peth pune","49","6","Last updated 2 months ago"
" Patil Hospital,(Sinhgad Road) Pune","Phone: 9225825461","Address: Survery No 28, Hingne Khurd, Sinhagad Road, Narveer Tanaji Malusare Rd, Anand Nagar, Pune, Maharashtra 411051","30","0","Last updated 2 months ago"
" Sushrut Hospital ( Kothrud )","Phone: 7066963300 / 9967090083","Address: Pranav, Nayantara Soc, Bhelkenagar, Kothrud,Pune-411038","6","0","Last updated 2 months ago"
" Medi Square Hospital Perne","Phone: 7875982194","Address: Green Park,Near Perne Toll Plaza,Pune","21","0","Last updated 2 months ago"
" Sai Spandan Hospital ( Hadapsar )","Phone: 9860576115","Address: Shivam complex near sadhana bank pune solapur rd hadapsar","16","2","Last updated 2 months ago"
" Dalvi Hospital ( Shivajinagar )","Phone: na","Address: Babulal Sheikth Path, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005","4","2","Last updated 2 months ago"
" Aundh - baner DCH","Phone: 020-29525922 /","Address: Near post 91 hotel, adjacent SBI bank, baner rd","38","5","Last updated 2 months ago"
" Yash Hospital Hadpasr","Phone: 9112809809","Address: Survey No 168, 10-11, DP Rd, Malwadi, Hadapsar, Pune, Maharashtra 411028","35","3","Last updated 2 months ago"
" Sharad Hospital (sinhgad rd)","Phone: 24350286","Address: opp funtime theater, near canal, wadgon bk pahta, sinhgad rd, pune 51","20","0","Last updated 2 months ago"
" Sonawane Maternity Hospital ( Kashewadi )","Phone: 8856036290","Address: 270, Jawaharlal Nehru Rd, Kashewadi Kashewadi Pune, Maharashtra 411042","0","0","Last updated 2 months ago"
" Critical health care facility, Pune ( Rasta Peth)","Phone: 0","Address: opp. Seth Tarachand Ramnath Charitable Hospital, Rasta Peth, Pune, Maharashtra 411011","8","4","Last updated 2 months ago"
" Jupiter Hospital ( Baner )","Phone: 020-27992799","Address: Near Bharatratna Dr Babasaheb Ambedkar Bridge, Baner Rd, Prathamesh Park, Pimple Nilakh, Pune, Maharashtra 411045","12","0","Last updated 2 months ago"
" Kalyani Hospital ( Guruwar Peth )","Phone: 9822056049","Address: 735, Guruwar Peth, Eknath SMruthi, 1st Floor, Rashtra Bhushan Chowk, Shivaji rd, Pune 02","3","0","Last updated 2 months ago"
" Dr.Mhaske hospital ( Hadapsar)","Phone: 9923010890","Address: sr.no.225/9a+97, near uco bank, gadital, pune solapur rd, hadapsar,pune","12","0","Last updated 2 months ago"
" Pawar Hospital ( Dhankawadi )","Phone: 020-24372008 /9860888892","Address: 49/22, Balajai nagar Dhankawadi pune 43","10","0","Last updated 2 months ago"
" Lokmanya Hospital-Gokhale Nagar","Phone: 9673859185/9922442179","Address: Lokmanya Hospital,Gokhale Nagar,SB Road, Pune","12","3","Last updated 2 months ago"
" Harsh Hospital ( Bibwewadi)","Phone: 020-24267218","Address: A Commerical BLDG 3rd floor todkar garden bibwewadi kondhwa rd bibwewadi pune 37","9","1","Last updated 2 months ago"
" Matoshri Hospital Vadgaon","Phone: 8080281805 ,9175028119","Address: Vadgaon","3","0","Last updated 2 months ago"
" Life Line Hospital (Fursungi)","Phone: 7756977272","Address: Shivaganga Complex, bank of maharashtra hadapsar, Saswad road bhekarai nagar Pune","10","8","Last updated 2 months ago"
" Mantri Hospital (Erandwane )","Phone: 9822096460","Address: 98, Erandwane , Near Mhatre Bridge,Pune 411004","5","0","Last updated 3 months ago"
" RH Narayangaon","Phone: 9561383251","Address: Narayangaon Pune","8","3","Last updated 3 months ago"
" shatayu hospital ( Dhankawadi )","Phone: 9890102089","Address: Sr.No. 30/3/8 Sonawane Complex, Balajinagar, Near Shree Shankar math, Dhankawadi pune 43","2","0","Last updated 3 months ago"
" Rakshak Nagar Krida Sankul CCC KHARADI","Phone: 7499379727","Address: Rakshak Nagar Stadium","0","0","Last updated 3 months ago"
" Adhar hospital ( Hadapsar )","Phone: 9765078515/8484083184","Address: satav nagar, near green city, handewadi rd, hadapsar, pune 411028","11","0","Last updated 3 months ago"
" nagare nursing home ( Uttamnagar )","Phone: 9822091755","Address: NDA rd, uttamnagar pune 411023","14","0","Last updated 3 months ago"
" SILVER BIRCH MULTISPECIALITY HOSPITAL ( Dhayari)","Phone: 9823231846","Address: S.NO.74/6, RAIKAR MALA, MAUJE DHAYARI, PUNE 41","52","7","Last updated 3 months ago"
" GANGA NURSING HOME (Mundhwa)","Phone: 9822289505","Address: NEXT TO PASSPORT OFFICE MUNDHWA RD PUNE 35","15","0","Last updated 3 months ago"
" Sardar Vallabhbhai Patel Hospital Pune","Phone: 9130038713","Address: Opposite Golibar Maidan Camp, Shankar Sheth Rd, Katad Khana, Pune, Maharashtra 411001","0","2","Last updated 3 months ago"
" Rising Medicare Hospital ( Kharadi)","Phone: 9372030440","Address: Survey No 4, Hissa No 1, Off, Mundhwa - Kharadi Rd, behind Radisson Blu, Kharadi, Pune, Maharashtra 411014","17","1","Last updated 3 months ago"
" Chintamani hospital- Bibwewadi","Phone: 020 - 2421 2112 / 15 / 16 / 17","Address: 53, Jedhe nagar, rajaram soc, Bibewadi, pune -411037","0","2","Last updated 3 months ago"
" Railway Hospital ( Station rd )","Phone: 02026111528 / 9664089774","Address: Station rd","30","0","Last updated 3 months ago"
" CCC Attached SIlver line Hosp CCC","Phone: 9028538602","Address: Near Indian Petrol Pump, Handewadi rd, Pune","10","0","Last updated 3 months ago"
" Bora Hospital ( Ganesh Peth )","Phone: 9822035935","Address: 589, Ganesh Peth, Pune 02","5","0","Last updated 3 months ago"
" Sant Sopandev Hospital, saswad","Phone: 9850033971","Address: saswad","18","5","Last updated 3 months ago"
" Minerna hospital ( Shivne )","Phone: 9923232233","Address: ingale pride bldg, ingale colony, NDA rd, shivne pune 23","7","1","Last updated 3 months ago"
" sane guruji aarogy kendra ( Hadapsar )","Phone: 9850730341","Address: hadapsar, pune 28","15","3","Last updated 3 months ago"
" Bade Hospital Kamshet","Phone: 9822351796","Address: Kamshet, Pune","19","8","Last updated 3 months ago"
" HORIZON HEALTH HOSPITAL ( Fursungi )","Phone: 9067887610","Address: NARAYAN CHAMBERS, FIRST FLOOR, SR.NO.177/1 , VITTHAL H P PETROL PUMP, BHEKRAI NAGAR, PUNE SASWAD RD, FURSUNGI","12","1","Last updated 3 months ago"
" Ram Krushna Hospital ( Tilak rd )","Phone: 9422080954","Address: 1536, Sadashiv Peth, Tilak rd, pune 411030","5","0","Last updated 3 months ago"
" Atharva Hospital, Talegaon","Phone: 7385735137","Address: Talegaon","38","3","Last updated 3 months ago"
" lifecare multispeciality hospital (vadgaon budruk)","Phone: 9764457350","Address: sr.no 30/2A+2B, funtime theatre commercial complex,sinhagad road,vadgoan budruk, pune-41","4","0","Last updated 3 months ago"
" Bhandari Hospital( Anand nagar )","Phone: 7447496784","Address: 5 Dhanlaxmi Soc, Aandn Nagar, Pune51","13","0","Last updated 3 months ago"
" Om Chaitanya Hospital, Alephata, junnar","Phone: 9422143011 9975513434","Address: Junnar","15","0","Last updated 3 months ago"
" CHANDRA NURSING HOME ( Kondhwa BK )","Phone: 9325208383 / 8007375984","Address: CHANDRA HEIGHTS, SR.NO.54, KONDHWA, KATRAJ RD, KONDHWA BK , PUNE 48","10","0","Last updated 3 months ago"
" Morya Multi-specialty Hospital ( Sinhgad rd )","Phone: 9921714141","Address: Anudatta Commercial Complex, Sinhgad Rd, Wadgaon Budruk, Narhe, Pune, Maharashtra 411041","58","4","Last updated 3 months ago"
" JEEWAN JYOT MULTISPECIALITY MEDICARE CENCRE ( Kharadi)","Phone: 8390930379","Address: SR.NO.43/1, PATHARE DHUBE NAGAR, NEAR VITHHAL MANDIR, KHARADI PUNE 14","14","1","Last updated 3 months ago"
" ORCHID HOSPITAL ( Lohegaon )","Phone: 9922566400","Address: L-Square, Porwal Road, Sr. No. - 282/3/3, Off. Dhanori Jakat Naka, Lohegaon, Pune, Maharashtra 411047","16","4","Last updated 3 months ago"
" Vishwaraj Hospital","Phone: 9405854467","Address: Solapur Rd, Rajbaug, Loni Kalbhor","74","10","Last updated 3 months ago"
" shatayu hospital ( mundhawa )","Phone: 9921482070","Address: near aryan hostal, lonkar vasti,manjari rd, keshvanagar,mundhawa,pune 36","6","0","Last updated 3 months ago"
" Astang Multispeciality Hospital ( Sadashiv Peth )","Phone: 9096568819","Address: Sadashiv Peth. Near SP College, Tilak rd","20","0","Last updated 3 months ago"
" Khenat Hospital ( Karve Nagar)","Phone: 7709188744","Address: sai hsg soc, sr.no.53, near state bank nagar karve nagar chowk pune","15","0","Last updated 3 months ago"
" Shree Hospital Criticare & Trauma Center Pvt Ltd( Kharadi)","Phone: 9822040769,9823077204","Address: 7/3B (part), Gulmohor Society, Kharadi, Pune 14","14","5","Last updated 3 months ago"
" Shatayu Hospital ( Wadgaon )","Phone: 7620960342","Address: Sr.NO.12/3 a +4/ 2 a, lagdmal, Wadgaon BK, Rajyoga Soc Rasta, Pune 41","6","0","Last updated 3 months ago"
" aarya multispecity hospital(kondhwa)","Phone: 9975622923","Address: s.no.7/40,aambedkar nagar,near crown bakery, kondhwa,pune 48","20","0","Last updated 3 months ago"
" Tanmay Hospital ( Hadapsar )","Phone: 9860148121","Address: Shop No 1,2,3, Siddhi BLDG, Kubera Sankul, Gadital, DP rd, Hadapsar, Pune 28","5","0","Last updated 3 months ago"
" Inaam hospital( yerwada)","Phone: 9822502806","Address: 191, Jail Rd, Nagpur Chal, Yerawada, Pune, Maharashtra 411006","6","0","Last updated 3 months ago"
" Phoenix Multispeciality Hospital Wagholi Pune","Phone: 9594206018","Address: Honey Complex 1st floor near bajar Pune nagar road wagholi pune","20","2","Last updated 3 months ago"
" Pearl hospital ( Hadapsar )","Phone: 8237421291,9960027206","Address: 311 gandharvgeet sasane nagar , hadapsar, pune","10","0","Last updated 3 months ago"
" Shraddha Hospital ( Mundhwa)","Phone: 9823921693,8485098798,8177856807","Address: Mundhwa pune 36","9","0","Last updated 3 months ago"
" Kurkute Hospital ( Wadgaon Sheri)","Phone: 9822316866","Address: Vitthal Nagar, Wadgaon Sheri, Pune 14","3","0","Last updated 3 months ago"
" SHRI GIRI HOSPITAL & HEART CARE CENTER ( Hadapsar 0","Phone: 7769909292","Address: 2 +3 MATRUSMURTI BLDG, S.NO.227/2/2+5/3 ND 227/3+4/5 PUNE SOLAPUR RD, HADAPSAR PUNE 28","10","1","Last updated 3 months ago"
" Sancheti Hospital ( Shivajinagar )","Phone: 020 27999999 / 8806666303","Address: 11/12 Thube Park 16, Shivajinagar, Pune, Maharashtra 411005","25","2","Last updated 3 months ago"
" Amrut Hospital and Research Center, Alandi","Phone: 9822634464 9657708625","Address: Alandi Pune","10","0","Last updated 3 months ago"
" Shree seva Hospital ( Fursungi )","Phone: 9766959515","Address: yashraj bahar BLDG, Saswad rd, Bhekarayi nagar, Fursungi Pune","12","0","Last updated 3 months ago"
" JANHITARTH MULTISPECIALITY HOSPITAL","Phone: 7719028121","Address: GHULE NAGAR MUNDHWA ROAD MANJARI BK PUNE","13","2","Last updated 3 months ago"
" SANKALP HOSPITAL SHIRUR","Phone: 8421385555","Address: SHIKSHAK COLONY, RAMLING ROAD , SHIRUR, TAL= SHIRUR DIST = PUNE PIN CODE 412210","14","0","Last updated 3 months ago"
" Todkar Hospital ( Bhavani Peth)","Phone: 9822024041","Address: 158, Bhavani Peth, Gul Ali, Pune 02","12","0","Last updated 3 months ago"
" kirad nursing home","Phone: 9881716152","Address: sr.no.49/2,flat no.43,chandannagar, pune 14","0","0","Last updated 3 months ago"
" suraj hospital (kondhwa rd)","Phone: 8380095717,9860888892","Address: Bibwewadi Kondhwa Rd, Burhani Colony, Market Yard, Bibwewadi, Pune, Maharashtra 411037","10","0","Last updated 3 months ago"
" Prabha Hospital ( Hadapsar )","Phone: 9224688223","Address: Sr.NO.174/2/28/ Opp Bank Of Maharashtra, Pune Saswad rd, Hadapsar, Pune","6","0","Last updated 3 months ago"
" PARAS NURSING HOME ( Dhankawadi )","Phone: 020-24378052 / 9028775027","Address: GULAB NAGAR.PLOT NO 1 DHANKAWADI","3","0","Last updated 3 months ago"
" Annasaheb Magar Stadium (Jumbo Facility)","Phone: 9922509321","Address: Trishul Sahakari Housing Society, Yashwantnagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","140","60","Last updated 3 months ago"
" A.B.Services Boys Hostel, Akurdi (Ayush Hosp.)","Phone: 9922736052","Address: Dr.D.Y.Patil College Road, Akurdi","0","0","Last updated 3 months ago"
" All India Jain Foundation, Ravet (Oxycare Hospital)","Phone: 9422555055","Address: Plot No.12, AR-2, Siddhi Corner, Above Keen Mart, D.Y.Patil Road, Pradhikaran","0","0","Last updated 3 months ago"
" Hotel Daksh, New Telco Road, Pimpri (Divine Hospital)","Phone: 9879888192","Address: Udyam Nagar, Near Annasaheb magar Stadium, New Telco Road, Pimpri-411018","0","0","Last updated 3 months ago"
" Hotel Ginger, Wakad (Apollo Hospital)","Phone: 9075965550","Address: Wakad","0","0","Last updated 3 months ago"
" Hotel Pioneer (Nandedkar Hosp)","Phone: 9960889451","Address: SN 49/1/1, Behind Pratibha Motors, Near Pandit Petrol Pump, Dange Chowk, Tathawade, Pune-411033","0","0","Last updated 3 months ago"
" Hotel Regal Inn, Morewadi (Ayush Hosp)","Phone: 9922736052","Address: Morwadi","0","0","Last updated 3 months ago"
" Sai Darshan Building, Pimple Gurav (Ayushri Hospiital)","Phone: 9923231681","Address: Sai Darshan Bulding, sr.no. 73/8, A wing, PimpleGurav, Pune 61","0","0","Last updated 3 months ago"
" SPM School, Yamunanagar (Star Hospital)","Phone: 7972438063","Address: SPM.School, Nigdi, Yamunanagar","0","0","Last updated 3 months ago"
" Sai Prasad Hospital ( Dattannagar )","Phone: , 7821074109,9822518726","Address: Sr.No.33, Opp Vasundhara SocFreinds BLDG, Near Ganesh Mandir, Bharati Vidyapith, Dattanagar rd,","44","0","Last updated 3 months ago"
" Ushakiran Hospital ( Hadapsar )","Phone: 9422300897","Address: Usha Kiran Genral Sr.No.229/A-1, Kamdhenu Estate, Hadapsar, Pune 411028","8","2","Last updated 3 months ago"
" LifeCare Multispecility Hospital ( Near Samruddhi Hotel Hadapsar )","Phone: 7020167179","Address: Behind D mart, Near Samruddhi Hotel, Kalepadal rd, Hadapsar, Pune-411028","8","2","Last updated 3 months ago"
" Hardikar Hospital ( Shivaji nagar)","Phone: 7774064091","Address: 1160/61, University Rd, Revenue Colony, Shivajinagar, Pune, Maharashtra 411005","1","3","Last updated 3 months ago"
" Yogeshwari Hospital","Phone: 9226837010","Address: Shalimar Chowk, Daund","9","4","Last updated 3 months ago"
" Dr B. A. Cantonment General Hospital, Khadki","Phone: 0","Address: Khadki Cantonment, Pune","70","0","Last updated 3 months ago"
" Balnagari (Ruby Ailcare)","Phone: 9881729591","Address: J-522, MIDC Rd, Khande Wasti, Pimpri Chinchwad New Twp Development Authority, MIDC, Bhosari, Pimpri-Chinchwad, Maharashtra 411026","0","0","Last updated 4 months ago"
" Gharkul B-10, Chikhali (Divine Hosp)","Phone: 9309163248","Address: Gharkul, Chikhali","0","0","Last updated 4 months ago"
" Gharkul D-5, Chikhali (Icon Hosp)","Phone: 9881729591","Address: Sector 19, Chikhali, Vitthal Nagar, Maharashtra 411019","0","0","Last updated 4 months ago"
" Allince Munot Hospital ( Bhawani Peth )","Phone: 020-26451691, 9922414489","Address: 387/5, new tibar market, shankar shet rd, bhawani peth, pune 411042","10","0","Last updated 4 months ago"
" Asha Clinic ( Fursungi )","Phone: 8390877799","Address: Sr.NO.173, Hira Arjun Complex, Old Fursungi rd, Bhekarai Nagar, Fursungi, Pune 412308","5","0","Last updated 4 months ago"
" Vighnaharta Multi-speciality Hospital ( Bibwewadi )","Phone: 99-21884422/020-24412288","Address: Plot No.5 Mahesh Society,Opp Petrol Pump, Bibvewadi,Pune-411037","25","2","Last updated 4 months ago"
" Gurukrupa Hospital ( Dandekar Bridge )","Phone: 7038062772","Address: 263/6 Near Dandekar Bridge, Behind Petrol Pump, Pune 30","7","0","Last updated 4 months ago"
" APPLE HOSPITAL ( LOHAGON )","Phone: 8010044775","Address: APPLE HOSPITAL, LOHAGON,PUNE 47","14","1","Last updated 4 months ago"
" Medwin Cares Hospital, Narhe, Haveli","Phone: 9561741141","Address: Krishana Ghodnadikar Tower Bhumkar Chowk Pune","8","0","Last updated 4 months ago"
" Remedy Hospital ( Hadapsar )","Phone: 020-26999186 / 9423013305","Address: sr.no.228, ramanand complex, near janseva bank, hadapsar, pune 411028","15","1","Last updated 4 months ago"
" SAHARA MULTISPECILITY HOSPITAL( Shinhgad rd )","Phone: 7045800800/9960399949","Address: YASH PLAZA DANDEKAR POOL, SHINHGAD RD PUNE 30","7","0","Last updated 4 months ago"
" GIRIJA HOSPITAL ( Kothrud)","Phone: 7498507232","Address: SR.NO.87,AAZADNAGAR, KOTHRUD,,PUNE 38","10","0","Last updated 4 months ago"
" JAGTAP MULTISPECIALITY HOSPITAL ( Sinhgad rd)","Phone: 8080772936, 020 24352976, 7769951782, 8999074246,","Address: SINHGAD RD, ANAND NAGAR, NEAR SANTOSH HALL, FRONT OFF BHANDARI HOSP, PUNE 411051","29","0","Last updated 4 months ago"
" Morya Hospital, Ubalenagar, Wagholi","Phone: 7588831919","Address: Ubalenagar, Wagholi","8","1","Last updated 5 months ago"
" Sanjeevani Hospital Kamshet","Phone: 9769447714","Address: Kamshet","5","1","Last updated 5 months ago"
" Shree ganesha multispeciality hospital","Phone: 7387565123","Address: Shirur 412210","21","0","Last updated 5 months ago"
" CARE HOSPITAL WAGHOLI","Phone: 8007771999","Address: WAGHOLI","21","2","Last updated 5 months ago"
" Shinde Nursing Home ( Bhawani Peth )","Phone: 020-26380058","Address: 71, Bhawani Peth,Geetanjali Complex, GulALi Pune 42","5","0","Last updated 5 months ago"
" MATRUCHHAYA NURSING HOME ( Warje)","Phone: 8446479548","Address: 1st floor, Ankur Plaza, Near, Warje Flyover, chwok, Warje, Pune, Maharashtra 411058","8","0","Last updated 6 months ago"
" Mahalaxmi Hospital,","Phone: 9921829010`","Address: Gopalwadi Road,Daund, PUNE","3","0","Last updated 6 months ago"
" lifeline hospital kondhwa","Phone: 8888442202","Address: NIBM Rd, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048","6","2","Last updated 6 months ago"
" Panchsheel Hospital ( NANA PETH )","Phone: 9823588880 / 9762268113","Address: 368, Nana Peth, Pune -02","5","0","Last updated 6 months ago"
" New Sofia Clinic ( Kondhwa KH )","Phone: 9511295983","Address: city tower bldg, 1st floor,near suzuki showroom,kauser baugh kondhwa khurd, pune 48","6","0","Last updated 7 months ago"
" Kasturba Specility Hospital (Visharant Wadi)","Phone: +917378591700","Address: St Francis School, Near, A/99,KasturbaSoc.Off, Airport Rd, Visharant Wadi, Pune, Maharashtra 411015","9","1","Last updated 7 months ago"
" Pulse Hospital, Narhe, Pune","Phone: 7798838485","Address: Narhe, Pune","13","4","Last updated 7 months ago"
" VIMAL MULTISPECIALITY HOSPITAL ( Lohgaon)","Phone: 9175884800","Address: 281,Dhanori Jakat-Naka, Lohegaon, Pune, Maharashtra 411047","10","0","Last updated 7 months ago"
" Navjeevan Nursing Home ( Hadapsar )","Phone: 9823137136 / 020 26970300 /9834201640","Address: Galli No 4 B, Sayyed Nagar, Hadapsar, Pune 28","25","0","Last updated 7 months ago"
" Nikhil Polyclinic ( Yerwada )","Phone: 020-25501015, 9422030442,9689934284","Address: 1st Lane, Nagpur chawl, Air Port Road,Pune 06","8","0","Last updated 7 months ago"
" Medicare Hospital ( Hadapsar)","Phone: 9850403026","Address: Near Amanora City, Opposite Suzlon Energy, Malwadi, Sadesatra Nali, Hadapsar, Pune - 411028","18","0","Last updated 7 months ago"
" Sanjeevan Hospital ( karve rd )","Phone: 7887882698","Address: F.P23, off Karve Road, Kashibai Khilare Path, Opposite Pune Cenrtal, Pune, Maharashtra 411004","41","6","Last updated 7 months ago"
" N M Wadia institute of Cardiology ( Sasson rd )","Phone: 020-67636400, 9607996716","Address: sasson rd, pune 411001","19","2","Last updated 7 months ago"
" Agarwal Maternity & General Hospital (Chandan Nagar )","Phone: 8446461156","Address: Kharadi rd, Sangharsh Chowk, Chandan Nagar, Pune 14","24","0","Last updated 7 months ago"
" SHREE GANESH MULTISPECILITY HOSPITAL ( manjari) )","Phone: 8329694790/7387895422","Address: ganesh plazma , 3rd floor, manjari pune 412307","12","1","Last updated 7 months ago"
" Shree Hospital Baramati","Phone: 7038119200","Address: Baramati","15","1","Last updated 7 months ago"
" Shivnandan Hospital Baramati","Phone: 8308385181 / 7972153463","Address: Baramati","8","0","Last updated 7 months ago"
" SDH Bhor","Phone: 8007992008","Address: Sub District Hopital Bhor","43","5","Last updated 7 months ago"
" prakash hospital( hadapsar)","Phone: 9552016103 / 8459960099","Address: shatanand complex, hadapsar ( gadital) pune 28","7","0","Last updated 7 months ago"
" Tukaai multispecility hospital ( Kharadi)","Phone: 9011972177","Address: sr.no.45/5,plot no 31, eknath pathare wasti near datta mandir, kharadi , pune-14","8","0","Last updated 7 months ago"
" RH Vadgaon Maval","Phone: 9421008333","Address: Vadgaon Maval","3","0","Last updated 8 months ago"
" Balewadi Sports Complex (BVG India)","Phone: 8605834682","Address: Balewadi","0","0","Last updated 8 months ago"
" Gharkul B-9, Chikhali (Divine Hosp)","Phone: 7030729676","Address: Gharkul, Chikhali","0","0","Last updated 8 months ago"
" Gharkul D-7, Chikhali (Icon Hosp)","Phone: 9561023231","Address: Chikhali","0","0","Last updated 8 months ago"
" Gharkul D-8, Chikhali (Icon Hosp)","Phone: 9561023231","Address: Chikhali","0","0","Last updated 8 months ago"
" Social Justice Departments Boys Hostel, Moshi (Trust Health Care)","Phone: 9172259047","Address: Moshi","0","0","Last updated 8 months ago"
" Sinhgad Speciality Hospital,Nanded phata,Sinhagad Road Pune","Phone: 9970832213","Address: Nanded phata,Sinhagad Road Pune","5","0","Last updated 8 months ago"
" Patil Hospital ( Dattananagar )","Phone: 8605121899","Address: Dattananagr pune 46","5","0","Last updated 8 months ago"
" Varadvinayak Multi Speciality Hospital Mandavgan Pharata","Phone: 9226361672","Address: Mandavgan Pharata Tal Shirur Dist Pune","11","3","Last updated 8 months ago"
" NIXI ICU & ACCIDENT HOSPITAL","Phone: 7387039191","Address: HANDEWADI CHAUK HADPASAR ROAD","13","0","Last updated 8 months ago"
" AMRUT HOSPITAL ( Yerwada)","Phone: 9325362742","Address: SUDARSHAN COMPLEX , 2 ND FLOOR, NEAR CHITRA TAKIES, OPP KASHMIRI COLONY, YERWADA,PUNE06","9","0","Last updated 8 months ago"
" Patil Hospital DCHC Choufula Daund","Phone: 7083030675 8830497600","Address: Kedgaon Road,Choufulla Daund Pune","10","0","Last updated 8 months ago"
" Londhe Hospital Baramati","Phone: 9822047714","Address: Baramati","4","0","Last updated 8 months ago"
" Dr.Gujrati Hospital Manchar Ambegaon","Phone: 9028595874","Address: Manchar ambegaon","2","0","Last updated 8 months ago"
" Nilkanth Hospital, Indapur","Phone: 9730698447","Address: Indapur","4","0","Last updated 8 months ago"
" Maulinath Hospital Shikrapur","Phone: 7448286286 7038286286","Address: Shikrapur, Chakan Chowk Pune Nagar road, Pune 412208","20","1","Last updated 8 months ago"
" DHANVANTARI HOSPITAL SASWAD","Phone: 9860383840","Address: SASWAD","4","2","Last updated 8 months ago"
" OM HOSPITAL, Pragaon Shingave,Ambegaon","Phone: 9175826903 / 9975593724","Address: Tal. Ambegaon Dis Pune","3","3","Last updated 8 months ago"
" Arogyam Hospital, Chakan","Phone: 080-43694671","Address:","23","3","Last updated 9 months ago"
" Bhakare Super Speciality Hospital & Research Institute ( Ambegaon BK)","Phone: 8830409001","Address: Bhakare Super Speciality Hospital And research Institute, Jambulwadi Rd, Datta Vihar, Dattanagar, Shani Nagar, Ambegaon BK, Pune, Maharashtra 411046","28","5","Last updated 9 months ago"
" Maxcare Hospital Narayangaon","Phone: 9890886361","Address: Narayangaon tal Junnar, pune","5","1","Last updated 9 months ago"
" Sanjeevani Chest and General Hospital","Phone: 9665914363","Address: Rajgurunagar, Kacheri Road, Next to Janata Baker, Tal- Khed, Pune","10","0","Last updated 9 months ago"
" Giriraj Hospital, Baramati","Phone: 02112223426","Address: Near Baramati ST Depot, Baramat, Pune","15","4","Last updated 9 months ago"
" Tulja Bhavani Hospital, Junnar","Phone: 9881435523, 9766990820","Address: Junnar","14","0","Last updated 9 months ago"
" Jivanrekha Multispeciality Hospital, Dehuroad, Pune","Phone: 7385159540","Address: Dehuroad, Pune","37","0","Last updated 9 months ago"
" DR Varpe Hospital Manchar Ambegaon","Phone: 9960251560","Address: Manchar Ambegaon Pune 410503","7","0","Last updated 9 months ago"
